Well_ID	Date	Gas_Rate
PAG-1004D-i	2004-05-01 00:00:00	0
PAG-1004D-i	2004-06-01 00:00:00	0
PAG-1004D-i	2004-07-01 00:00:00	0
PAG-1004D-i	2004-08-01 00:00:00	0
PAG-1004D-i	2004-09-01 00:00:00	0
PAG-1004D-i	2004-10-01 00:00:00	0
PAG-1004D-i	2004-11-01 00:00:00	0
PAG-1004D-i	2004-12-01 00:00:00	0
PAG-1004D-i	2005-01-01 00:00:00	0
PAG-1004D-i	2005-02-01 00:00:00	0
PAG-1004D-i	2005-03-01 00:00:00	0
PAG-1004D-i	2005-04-01 00:00:00	0
PAG-1004D-i	2005-05-01 00:00:00	0
PAG-1004D-i	2005-06-01 00:00:00	0
PAG-1004D-i	2005-07-01 00:00:00	0
PAG-1004D-i	2005-08-01 00:00:00	0
PAG-1004D-i	2005-09-01 00:00:00	0
PAG-1004D-i	2005-10-01 00:00:00	0
PAG-1004D-i	2005-11-01 00:00:00	0
PAG-1004D-i	2005-12-01 00:00:00	0
PAG-1004D-i	2006-01-01 00:00:00	0
PAG-1004D-i	2006-02-01 00:00:00	0
PAG-1004D-i	2006-03-01 00:00:00	0
PAG-1004D-i	2006-04-01 00:00:00	0
PAG-1004D-i	2006-05-01 00:00:00	0
PAG-1004D-i	2006-06-01 00:00:00	0
PAG-1004D-i	2006-07-01 00:00:00	0
PAG-1004D-i	2006-08-01 00:00:00	0
PAG-1004D-i	2006-09-01 00:00:00	0
PAG-1004D-i	2006-10-01 00:00:00	0
PAG-1004D-i	2006-11-01 00:00:00	0
PAG-1004D-i	2006-12-01 00:00:00	0
PAG-1004D-i	2007-01-01 00:00:00	0
PAG-1004D-i	2007-02-01 00:00:00	0
PAG-1004D-i	2007-03-01 00:00:00	0
PAG-1004D-i	2007-04-01 00:00:00	0
PAG-1004D-i	2007-05-01 00:00:00	0
PAG-1004D-i	2007-06-01 00:00:00	0
PAG-1004D-i	2007-07-01 00:00:00	0
PAG-1004D-i	2007-08-01 00:00:00	0
PAG-1004D-i	2007-09-01 00:00:00	0
PAG-1004D-i	2007-10-01 00:00:00	0
PAG-1004D-i	2007-11-01 00:00:00	0
PAG-1004D-i	2007-12-01 00:00:00	0
PAG-1004D-i	2008-01-01 00:00:00	0
PAG-1004D-i	2008-02-01 00:00:00	0
PAG-1004D-i	2008-03-01 00:00:00	0
PAG-1004D-i	2008-04-01 00:00:00	0
PAG-1004D-i	2008-05-01 00:00:00	0
PAG-1004D-i	2008-06-01 00:00:00	0
PAG-1004D-i	2008-07-01 00:00:00	0
PAG-1004D-i	2008-08-01 00:00:00	0
PAG-1004D-i	2008-09-01 00:00:00	0
PAG-1004D-i	2008-10-01 00:00:00	12963335
PAG-1004D-i	2008-11-01 00:00:00	88522576
PAG-1004D-i	2008-12-01 00:00:00	91180000
PAG-1004D-i	2009-01-01 00:00:00	99209680
PAG-1004D-i	2009-02-01 00:00:00	103761296
