Well_ID	Date	Gas_Rate
CR-1001D	2004-05-01 00:00:00	0
CR-1001D	2004-06-01 00:00:00	0
CR-1001D	2004-07-01 00:00:00	0
CR-1001D	2004-08-01 00:00:00	0
CR-1001D	2004-09-01 00:00:00	0
CR-1001D	2004-10-01 00:00:00	0
CR-1001D	2004-11-01 00:00:00	0
CR-1001D	2004-12-01 00:00:00	0
CR-1001D	2005-01-01 00:00:00	0
CR-1001D	2005-02-01 00:00:00	0
CR-1001D	2005-03-01 00:00:00	0
CR-1001D	2005-04-01 00:00:00	0
CR-1001D	2005-05-01 00:00:00	0
CR-1001D	2005-06-01 00:00:00	0
CR-1001D	2005-07-01 00:00:00	0
CR-1001D	2005-08-01 00:00:00	0
CR-1001D	2005-09-01 00:00:00	0
CR-1001D	2005-10-01 00:00:00	0
CR-1001D	2005-11-01 00:00:00	0
CR-1001D	2005-12-01 00:00:00	0
CR-1001D	2006-01-01 00:00:00	0
CR-1001D	2006-02-01 00:00:00	0
CR-1001D	2006-03-01 00:00:00	0
CR-1001D	2006-04-01 00:00:00	0
CR-1001D	2006-05-01 00:00:00	0
CR-1001D	2006-06-01 00:00:00	0
CR-1001D	2006-07-01 00:00:00	0
CR-1001D	2006-08-01 00:00:00	0
CR-1001D	2006-09-01 00:00:00	0
CR-1001D	2006-10-01 00:00:00	0
CR-1001D	2006-11-01 00:00:00	0
CR-1001D	2006-12-01 00:00:00	0
CR-1001D	2007-01-01 00:00:00	0
CR-1001D	2007-02-01 00:00:00	0
CR-1001D	2007-03-01 00:00:00	0
CR-1001D	2007-04-01 00:00:00	0
CR-1001D	2007-05-01 00:00:00	0
CR-1001D	2007-06-01 00:00:00	0
CR-1001D	2007-07-01 00:00:00	0
CR-1001D	2007-08-01 00:00:00	0
CR-1001D	2007-09-01 00:00:00	0
CR-1001D	2007-10-01 00:00:00	0
CR-1001D	2007-11-01 00:00:00	0
CR-1001D	2007-12-01 00:00:00	0
CR-1001D	2008-01-01 00:00:00	0
CR-1001D	2008-02-01 00:00:00	0
CR-1001D	2008-03-01 00:00:00	0
CR-1001D	2008-04-01 00:00:00	0
CR-1001D	2008-05-01 00:00:00	0
CR-1001D	2008-06-01 00:00:00	0
CR-1001D	2008-07-01 00:00:00	0
CR-1001D	2008-08-01 00:00:00	0
CR-1001D	2008-09-01 00:00:00	0
CR-1001D	2008-10-01 00:00:00	0
CR-1001D	2008-11-01 00:00:00	0
CR-1001D	2008-12-01 00:00:00	0
CR-1001D	2009-01-01 00:00:00	0
CR-1001D	2009-02-01 00:00:00	0
CR-1001D	2009-03-01 00:00:00	0
CR-1001D	2009-04-01 00:00:00	0
CR-1001D	2009-05-01 00:00:00	0
CR-1001D	2009-06-01 00:00:00	0
CR-1001D	2009-07-01 00:00:00	0
CR-1001D	2009-08-01 00:00:00	107063648
CR-1001D	2009-09-01 00:00:00	112907168
CR-1001D	2009-10-01 00:00:00	79024192
CR-1001D	2009-11-01 00:00:00	80246704
CR-1001D	2009-12-01 00:00:00	92532968
CR-1001D	2010-01-01 00:00:00	77056376
CR-1001D	2010-02-01 00:00:00	91429088
CR-1001D	2010-03-01 00:00:00	90606120
CR-1001D	2010-04-01 00:00:00	92193864
CR-1001D	2010-05-01 00:00:00	86702784
CR-1001D	2010-06-01 00:00:00	86080424
CR-1001D	2010-07-01 00:00:00	91723560
CR-1001D	2010-08-01 00:00:00	100982472
CR-1001D	2010-09-01 00:00:00	101443976
CR-1001D	2010-10-01 00:00:00	73141600
CR-1001D	2010-11-01 00:00:00	71556568
CR-1001D	2010-12-01 00:00:00	63937156
CR-1001D	2011-01-01 00:00:00	52563760
CR-1001D	2011-02-01 00:00:00	45449972
CR-1001D	2011-03-01 00:00:00	45483356
CR-1001D	2011-04-01 00:00:00	65232736
CR-1001D	2011-05-01 00:00:00	53785512
CR-1001D	2011-06-01 00:00:00	57983344
CR-1001D	2011-07-01 00:00:00	52482000
CR-1001D	2011-08-01 00:00:00	49495248
CR-1001D	2011-09-01 00:00:00	50146808
CR-1001D	2011-10-01 00:00:00	44324456
CR-1001D	2011-11-01 00:00:00	3306868.25
CR-1001D	2011-12-01 00:00:00	4580668
CR-1001D	2012-01-01 00:00:00	1545396.5
CR-1001D	2012-02-01 00:00:00	74088552
CR-1001D	2012-03-01 00:00:00	32062266
CR-1001D	2012-04-01 00:00:00	5971790.5
CR-1001D	2012-05-01 00:00:00	43031936
CR-1001D	2012-06-01 00:00:00	62483932
CR-1001D	2012-07-01 00:00:00	50781708
CR-1001D	2012-08-01 00:00:00	58296036
CR-1001D	2012-09-01 00:00:00	54676476
CR-1001D	2012-10-01 00:00:00	57172880
CR-1001D	2012-11-01 00:00:00	78421864
CR-1001D	2012-12-01 00:00:00	90067416
CR-1001D	2013-01-01 00:00:00	88885568
CR-1001D	2013-02-01 00:00:00	95077352
CR-1001D	2013-03-01 00:00:00	91806032
CR-1001D	2013-04-01 00:00:00	89997536
CR-1001D	2013-05-01 00:00:00	96582032
CR-1001D	2013-06-01 00:00:00	94192944
CR-1001D	2013-07-01 00:00:00	94189760
CR-1001D	2013-08-01 00:00:00	87038496
CR-1001D	2013-09-01 00:00:00	92349736
CR-1001D	2013-10-01 00:00:00	86697240
CR-1001D	2013-11-01 00:00:00	92350704
CR-1001D	2013-12-01 00:00:00	93842224
